Carbon concentration (weight%),Silicon concentration (weight%),Manganese concentration (weight%),Sulphur concentration (weight%),Phosphorus concentration (weight%),Nickel concentration (weight%),Chromium concentration (weight%),Molybdenum concentration (weight%),Vanadium concentration (weight%),Copper concentration (weight%),Cobalt concentration (weight%),Tungsten concentration (weight%),Oxygen concentration (ppm),Titanium concentration (ppm),Nitrogen concentration (ppm),Aluminium concentration (ppm),Boron concentration (ppm),Niobium concentration (ppm),Tin concentration (ppm),Arsenic concentration (ppm),Antimony concentration (ppm),Current (A),Voltage (V),AC or DC,Electrode positive or negative,Heat input (kJmm-1),Interpass temperature (°C),Type of weld,Post weld heat treatment temperature (°C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (°C),Charpy impact toughness (J),Hardness (kgmm-2),50 % FATT,Primary ferrite in microstructure (%),Ferrite with second phase (%),Acicular ferrite (%),Martensite (%),Ferrite with carbide aggregate (%),Power (W)
0.075,0.33,0.62,0.007,0.005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,429.0,42.0,85.0,5.0,5.0,220.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-22.0,100.0,,,26.0,61.0,13.0,0.0,0.0,3570.0
0.075,0.33,0.62,0.007,0.005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,429.0,42.0,85.0,5.0,5.0,220.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,451.0,539.0,24.4,78.0,-27.0,100.0,,,,,,,,3570.0
0.07,0.33,0.64,0.007,0.004,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,413.0,42.0,85.0,5.0,5.0,450.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,522.0,580.0,25.0,76.0,,,,,,,,,,3570.0
0.07,0.33,0.64,0.007,0.004,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,413.0,42.0,85.0,5.0,5.0,450.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-7.0,100.0,,,19.0,67.0,14.0,0.0,0.0,3570.0
0.07,0.33,0.64,0.007,0.004,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,413.0,42.0,85.0,5.0,5.0,450.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,484.0,576.0,23.0,74.9,-4.0,100.0,,,,,,,,3570.0
0.074,0.33,0.64,0.008,0.006,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,460.0,39.0,110.0,5.0,5.0,880.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,549.0,614.0,24.0,70.8,,,,,,,,,,3570.0
0.074,0.33,0.64,0.008,0.006,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,460.0,39.0,110.0,5.0,5.0,880.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,13.0,100.0,,,24.0,61.0,15.0,0.0,0.0,3570.0
0.074,0.33,0.64,0.008,0.006,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,460.0,39.0,110.0,5.0,5.0,880.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,544.0,621.0,22.6,71.9,18.0,100.0,,,,,,,,3570.0
0.077,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,399.0,41.0,75.0,5.0,5.0,5.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,443.0,522.0,31.1,77.0,,,,,,,,,,3570.0
0.077,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,399.0,41.0,75.0,5.0,5.0,5.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-60.0,100.0,,,,,,,,3570.0
0.077,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,399.0,41.0,75.0,5.0,5.0,5.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,332.0,461.0,33.3,80.3,-80.0,100.0,,,,,,,,3570.0
0.078,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,368.0,36.0,83.0,5.0,5.0,120.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,480.0,557.0,25.4,75.0,,,,,,,,,,3570.0
0.078,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,368.0,36.0,83.0,5.0,5.0,120.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-42.0,100.0,,,,,,,,3570.0
0.078,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,368.0,36.0,83.0,5.0,5.0,120.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,447.0,540.0,30.4,77.0,-55.0,100.0,,,,,,,,3570.0
0.074,0.34,1.0,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,424.0,37.0,86.0,5.0,5.0,255.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,513.0,594.0,28.0,76.0,,,,,,,,,,3570.0
0.074,0.34,1.0,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,424.0,37.0,86.0,5.0,5.0,255.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-38.0,100.0,,,,,,,,3570.0
0.074,0.34,1.0,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,424.0,37.0,86.0,5.0,5.0,255.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,492.0,575.0,25.2,76.0,-41.0,100.0,,,,,,,,3570.0
0.074,0.33,0.99,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,393.0,37.0,88.0,5.0,5.0,465.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,553.0,618.0,22.8,74.0,,,,,,,,,,3570.0
0.074,0.33,0.99,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,393.0,37.0,88.0,5.0,5.0,465.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-11.0,100.0,,,,,,,,3570.0
0.074,0.33,0.99,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,393.0,37.0,88.0,5.0,5.0,465.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,540.0,616.0,22.4,75.0,-20.0,100.0,,,,,,,,3570.0
0.075,0.34,1.02,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,417.0,37.0,79.0,5.0,5.0,985.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,615.0,655.0,20.2,72.9,,,,,,,,,,3570.0
0.075,0.34,1.02,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,417.0,37.0,79.0,5.0,5.0,985.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,14.0,100.0,,,,,,,,3570.0
0.075,0.34,1.02,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,417.0,37.0,79.0,5.0,5.0,985.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,603.0,676.0,19.8,70.8,8.0,100.0,,,,,,,,3570.0
0.077,0.31,1.33,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,419.0,38.0,80.0,5.0,5.0,6.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,463.0,541.0,27.1,75.9,,,,,,,,,,3570.0
0.077,0.31,1.33,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,419.0,38.0,80.0,5.0,5.0,6.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-67.0,100.0,,,23.0,7.0,70.0,0.0,0.0,3570.0
0.077,0.31,1.33,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,419.0,38.0,80.0,5.0,5.0,6.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,372.0,497.0,31.4,76.4,-81.0,100.0,,,,,,,,3570.0
0.079,0.33,1.37,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,417.0,34.0,97.0,5.0,5.0,105.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,505.0,586.0,25.8,77.9,,,,,,,,,,3570.0
0.079,0.33,1.37,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,417.0,34.0,97.0,5.0,5.0,105.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-55.0,100.0,,,24.0,15.0,61.0,0.0,0.0,3570.0
0.079,0.33,1.37,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,417.0,34.0,97.0,5.0,5.0,105.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,500.0,578.0,24.8,76.0,-61.0,100.0,,,,,,,,3570.0
0.076,0.3,1.36,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,370.0,33.0,84.0,5.0,5.0,235.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,540.0,597.0,26.4,76.0,,,,,,,,,,3570.0
0.076,0.3,1.36,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,370.0,33.0,84.0,5.0,5.0,235.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-45.0,100.0,,,26.0,14.0,60.0,0.0,0.0,3570.0
0.076,0.3,1.36,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,370.0,33.0,84.0,5.0,5.0,235.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,539.0,607.0,25.0,76.0,-41.0,100.0,,,,,,,,3570.0
0.077,0.34,1.39,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,409.0,32.0,99.0,5.0,5.0,455.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,586.0,641.0,24.2,76.0,,,,,,,,,,3570.0
0.077,0.34,1.39,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,409.0,32.0,99.0,5.0,5.0,455.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-23.0,100.0,,,19.0,18.0,63.0,0.0,0.0,3570.0
0.077,0.34,1.39,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,409.0,32.0,99.0,5.0,5.0,455.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,583.0,651.0,22.6,71.9,-27.0,100.0,,,,,,,,3570.0
0.076,0.3,1.36,0.006,0.007,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,432.0,33.0,91.0,5.0,5.0,940.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,610.0,685.0,20.6,71.9,,,,,,,,,,3570.0
0.076,0.3,1.36,0.006,0.007,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,432.0,33.0,91.0,5.0,5.0,940.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-1.0,100.0,,,19.0,31.0,50.0,0.0,0.0,3570.0
0.076,0.3,1.36,0.006,0.007,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,432.0,33.0,91.0,5.0,5.0,940.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,614.0,686.0,19.0,70.8,7.0,100.0,,,,,,,,3570.0
0.076,0.29,1.74,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,415.0,35.0,92.0,5.0,5.0,6.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,500.0,571.0,28.8,77.0,,,,,,,,,,3570.0
0.076,0.29,1.74,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,415.0,35.0,92.0,5.0,5.0,6.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-62.0,100.0,,,,,,,,3570.0
0.076,0.29,1.74,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,415.0,35.0,92.0,5.0,5.0,6.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,414.0,518.0,29.2,78.4,-71.0,100.0,,,,,,,,3570.0
0.077,0.32,1.77,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,418.0,31.0,89.0,5.0,5.0,125.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,540.0,614.0,22.0,75.9,,,,,,,,,,3570.0
0.077,0.32,1.77,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,418.0,31.0,89.0,5.0,5.0,125.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-54.0,100.0,,,,,,,,3570.0
0.077,0.32,1.77,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,418.0,31.0,89.0,5.0,5.0,125.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,524.0,605.0,24.4,74.0,-61.0,100.0,,,,,,,,3570.0
0.078,0.3,1.76,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,433.0,32.0,110.0,5.0,5.0,230.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,575.0,635.0,22.6,74.0,,,,,,,,,,3570.0
0.078,0.3,1.76,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,433.0,32.0,110.0,5.0,5.0,230.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-42.0,100.0,,,,,,,,3570.0
0.078,0.3,1.76,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,433.0,32.0,110.0,5.0,5.0,230.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,553.0,627.0,22.0,76.8,-31.0,100.0,,,,,,,,3570.0
0.077,0.29,1.77,0.008,0.009,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,432.0,31.0,97.0,5.0,5.0,450.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,606.0,660.0,22.0,74.0,,,,,,,,,,3570.0
0.077,0.29,1.77,0.008,0.009,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,432.0,31.0,97.0,5.0,5.0,450.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-26.0,100.0,,,,,,,,3570.0
0.077,0.29,1.77,0.008,0.009,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,432.0,31.0,97.0,5.0,5.0,450.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,577.0,661.0,21.6,71.9,-15.0,100.0,,,,,,,,3570.0
0.079,0.29,1.79,0.006,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,406.0,33.0,105.0,5.0,5.0,895.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,250.0,14.0,654.0,708.0,19.2,70.8,,,,,,,,,,3570.0
0.079,0.29,1.79,0.006,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,406.0,33.0,105.0,5.0,5.0,895.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,0.0,0.0,,,,,-6.0,100.0,,,,,,,,3570.0
0.079,0.29,1.79,0.006,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,406.0,33.0,105.0,5.0,5.0,895.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,638.0,716.0,17.2,68.6,4.0,100.0,,,,,,,,3570.0
0.062,0.22,1.17,0.007,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,AC,0,2.0,200,MMA,250.0,14.0,427.0,512.0,31.4,81.5,,,,,,,,,,6120.0
0.06,0.26,1.2,0.008,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,AC,0,2.0,200,MMA,250.0,14.0,440.0,523.0,33.0,81.5,,,,,,,,,,6120.0
0.06,0.25,1.19,0.008,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,AC,0,2.0,200,MMA,250.0,14.0,443.0,508.0,30.4,82.4,,,,,,,,,,6120.0
0.062,0.31,1.24,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,AC,0,2.0,200,MMA,250.0,14.0,468.0,531.0,29.6,81.5,,,,,,,,,,6120.0
0.055,0.33,1.39,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,DC,+,1.0,200,MMA,250.0,14.0,435.0,510.0,35.6,81.5,,,,,,,,,,6120.0
0.049,0.34,1.39,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,DC,+,1.0,200,MMA,250.0,14.0,430.0,505.0,31.2,82.3,,,,,,,,,,6120.0
0.048,0.31,1.34,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,DC,+,1.0,200,MMA,250.0,14.0,433.0,504.0,31.0,82.3,,,,,,,,,,6120.0
0.048,0.36,1.3,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,DC,+,1.0,200,MMA,250.0,14.0,465.0,526.0,30.4,80.6,,,,,,,,,,6120.0
0.059,0.29,1.49,0.008,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,DC,+,1.0,200,MMA,250.0,14.0,442.0,524.0,31.6,80.6,,,,,,,,,,6120.0
0.051,0.31,1.64,0.005,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,DC,+,1.0,200,MMA,250.0,14.0,497.0,559.0,30.0,77.8,,,,,,,,,,6120.0
0.069,0.53,1.17,0.008,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,DC,+,1.0,200,MMA,250.0,14.0,487.0,555.0,31.4,78.8,,,,,,,,,,6120.0
0.068,0.36,1.56,0.006,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,34.0,DC,+,1.0,200,MMA,250.0,14.0,494.0,569.0,28.4,79.6,,,,,,,,,,6120.0
0.043,0.3,0.69,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,373.0,448.0,34.4,83.0,,,,,,,,,,3570.0
0.043,0.3,0.69,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-70.0,9.0,,,,,,,,3570.0
0.043,0.3,0.69,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-60.0,15.0,,,,,,,,3570.0
0.043,0.3,0.69,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-50.0,53.0,,,,,,,,3570.0
0.043,0.3,0.69,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-40.0,117.0,,,,,,,,3570.0
0.043,0.3,0.69,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-20.0,220.0,,,,,,,,3570.0
0.043,0.3,0.69,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,20.0,222.0,,,,,,,,3570.0
0.042,0.31,0.98,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,392.0,476.0,34.4,80.6,,,,,,,,,,3570.0
0.042,0.31,0.98,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-70.0,21.0,,,,,,,,3570.0
0.042,0.31,0.98,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-60.0,38.0,,,,,,,,3570.0
0.042,0.31,0.98,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-50.0,74.0,,,,,,,,3570.0
0.042,0.31,0.98,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-40.0,182.0,,,,,,,,3570.0
0.042,0.31,0.98,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-20.0,220.0,,,,,,,,3570.0
0.042,0.31,0.98,0.006,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,20.0,222.0,,,,,,,,3570.0
0.045,0.31,1.39,0.005,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,414.0,502.0,31.0,80.6,,,,,,,,,,3570.0
0.045,0.31,1.39,0.005,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-70.0,38.0,,,,,,,,3570.0
0.045,0.31,1.39,0.005,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-60.0,81.0,,,,,,,,3570.0
0.045,0.31,1.39,0.005,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-50.0,129.0,,,,,,,,3570.0
0.045,0.31,1.39,0.005,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-40.0,172.0,,,,,,,,3570.0
0.045,0.31,1.39,0.005,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-20.0,220.0,,,,,,,,3570.0
0.045,0.31,1.39,0.005,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,20.0,222.0,,,,,,,,3570.0
0.045,0.29,1.83,0.005,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,444.0,525.0,29.8,79.9,,,,,,,,,,3570.0
0.045,0.29,1.83,0.005,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-70.0,36.0,,,,,,,,3570.0
0.045,0.29,1.83,0.005,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-60.0,76.0,,,,,,,,3570.0
0.045,0.29,1.83,0.005,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-50.0,117.0,,,,,,,,3570.0
0.045,0.29,1.83,0.005,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-40.0,153.0,,,,,,,,3570.0
0.045,0.29,1.83,0.005,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,21.0,DC,+,1.0,200,MMA,580.0,2.0,,,,,-20.0,203.0,,,,,,,,3570.0
